seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
2,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5,0.268117139007467
1,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2804489915098875
6,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.29006356800477
0,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3077481066934526
7,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.3110203642149894
4,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.3061899043500959
43,beta,54,none,0.7,1.0,pca,none,,54,31.0,50,0.5,0.2687094918484014
5,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3034001075342097
19,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.308233074478451
46,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.3025690304004726
38,beta,54,none,0.7,1.0,pca,none,,54,30.0,10,0.5,0.305897705677391
23,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5,0.2636075965803721
30,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3134398513165684
40,beta,54,none,0.7,1.0,pca,none,,54,29.0,10,0.5,0.3228459883322335
15,beta,54,none,0.7,1.0,pca,none,,54,31.0,5,0.5,0.2623146873266584
3,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.2968844487543756
11,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2977567678222074
10,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3099958701781551
34,beta,54,none,0.7,1.0,pca,none,,54,30.0,10,0.5,0.2982327882575918
26,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.302280836927908
18,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2882036905963049
14,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2935110159931688
27,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.2863280245584309
35,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5,0.2852642821423314
39,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.3114415004204592
47,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3093847326231287
42,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2913522501557297
31,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.2965578216931395
22,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2955787114767068
16,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3321893876417757
12,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.309376701196174
13,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2971093607964463
8,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.2896868304108059
24,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2763448241119233
20,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5,0.2313289913378992
32,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.2970165994152473
44,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.2884864350878466
48,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3087280801953497
28,beta,54,none,0.7,1.0,pca,none,,54,29.0,5,0.5,0.2972454720882966
36,beta,54,none,0.7,1.0,pca,none,,54,29.0,20,0.5,0.3299823147918823
9,beta,54,none,0.7,1.0,pca,none,,54,30.0,50,0.5,0.3367621369521728
33,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3113073837474071
41,beta,54,none,0.7,1.0,pca,none,,54,30.0,20,0.5,0.2863790864856865
29,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2936553538821184
37,beta,54,none,0.7,1.0,pca,none,,54,30.0,20,0.5,0.2947817842334511
25,beta,54,none,0.7,1.0,pca,none,,54,31.0,50,0.5,0.2658475896895023
21,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.2984841180510833
45,beta,54,none,0.7,1.0,pca,none,,54,29.0,10,0.5,0.2821505883198387
49,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3147624135557759
17,beta,54,none,0.7,1.0,pca,none,,54,29.0,50,0.5,0.3021541696015836
