seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,bernoulli,1,16,1.0,raw,16,0.5,0.4550063440907629
47,bernoulli,1,16,1.0,raw,16,0.5,0.4589671517245149
39,bernoulli,1,16,1.0,raw,16,0.5,0.4550323135827775
18,bernoulli,1,16,1.0,raw,16,0.5,0.4567344386420552
31,bernoulli,1,16,1.0,raw,16,0.5,0.4600219848033554
15,bernoulli,1,16,1.0,raw,16,0.5,0.4504807864197678
6,bernoulli,1,16,1.0,raw,16,0.5,0.4577266586598686
30,bernoulli,1,16,1.0,raw,16,0.5,0.4595850159529834
46,bernoulli,1,16,1.0,raw,16,0.5,0.4482743328593932
43,bernoulli,1,16,1.0,raw,16,0.5,0.4588577745218566
35,bernoulli,1,16,1.0,raw,16,0.5,0.4442137330074165
38,bernoulli,1,16,1.0,raw,16,0.5,0.441490958533801
3,bernoulli,1,16,1.0,raw,16,0.5,0.4450426622632055
42,bernoulli,1,16,1.0,raw,16,0.5,0.4466570749634856
26,bernoulli,1,16,1.0,raw,16,0.5,0.4520727469117421
23,bernoulli,1,16,1.0,raw,16,0.5,0.455434994894451
2,bernoulli,1,16,1.0,raw,16,0.5,0.4468603338489191
7,bernoulli,1,16,1.0,raw,16,0.5,0.4474517901254451
27,bernoulli,1,16,1.0,raw,16,0.5,0.4566111141488005
14,bernoulli,1,16,1.0,raw,16,0.5,0.4323272250001803
11,bernoulli,1,16,1.0,raw,16,0.5,0.4612816156494808
34,bernoulli,1,16,1.0,raw,16,0.5,0.4541461389463804
19,bernoulli,1,16,1.0,raw,16,0.5,0.4376041594900838
22,bernoulli,1,16,1.0,raw,16,0.5,0.4529528290765625
10,bernoulli,1,16,1.0,raw,16,0.5,0.4653938308459398
1,bernoulli,1,16,1.0,raw,16,0.5,0.4612677570998119
28,bernoulli,1,16,1.0,raw,16,0.5,0.4523484382979394
40,bernoulli,1,16,1.0,raw,16,0.5,0.453468422811318
36,bernoulli,1,16,1.0,raw,16,0.5,0.4562580055684104
4,bernoulli,1,16,1.0,raw,16,0.5,0.4570317064592739
16,bernoulli,1,16,1.0,raw,16,0.5,0.4478388947975733
48,bernoulli,1,16,1.0,raw,16,0.5,0.4563936040184816
8,bernoulli,1,16,1.0,raw,16,0.5,0.4588831526152349
44,bernoulli,1,16,1.0,raw,16,0.5,0.4523968107104769
32,bernoulli,1,16,1.0,raw,16,0.5,0.4534812381926241
24,bernoulli,1,16,1.0,raw,16,0.5,0.4564837738665125
20,bernoulli,1,16,1.0,raw,16,0.5,0.4524855870643915
12,bernoulli,1,16,1.0,raw,16,0.5,0.448215508757862
41,bernoulli,1,16,1.0,raw,16,0.5,0.4542332119996534
33,bernoulli,1,16,1.0,raw,16,0.5,0.4417060239218301
37,bernoulli,1,16,1.0,raw,16,0.5,0.4567413388701073
45,bernoulli,1,16,1.0,raw,16,0.5,0.4540211924320427
17,bernoulli,1,16,1.0,raw,16,0.5,0.4587258605166852
25,bernoulli,1,16,1.0,raw,16,0.5,0.4430801924203825
9,bernoulli,1,16,1.0,raw,16,0.5,0.4612505544747015
13,bernoulli,1,16,1.0,raw,16,0.5,0.4608795970173269
21,bernoulli,1,16,1.0,raw,16,0.5,0.4532652999454384
5,bernoulli,1,16,1.0,raw,16,0.5,0.447577105677638
49,bernoulli,1,16,1.0,raw,16,0.5,0.4635379626808339
29,bernoulli,1,16,1.0,raw,16,0.5,0.4525505732890404
